gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YGR024C	54.20933	-0.3514972	0.299855	0.08943297	0.2496757
YGR025W	27.60051	-0.5543377	0.37472435	0.02179827	0.09942341
YGR026W	216.8095	0.2863234	0.16621632	0.04491107	0.1601096
YGR027C	464.8403	0.3541206	0.40974877	0.121034	0.3034739
YGR027W-B	0.2441965	0	0.59040377	1	NA
YGR028W	135.9968	-0.1766489	0.2303794	0.3166583	0.5450741
YGR029W	59.03687	-0.3974751	0.25743062	0.03881302	0.1448518
YGR030C	89.60182	0.2714091	0.31375584	0.1900347	0.399387
YGR031C-A	10.29262	-0.1117497	0.39691779	0.576877	0.7685262
YGR031W	16.48292	0.3348917	0.42000176	0.1387215	0.3310148
YGR032W	1114.87	0.1681333	0.21374016	0.3194244	0.5470223
YGR033C	145.7236	0.3050277	0.20012017	0.06096201	0.1945769
YGR034W	552.4228	0.3698859	0.42995791	0.1091392	0.2826644
YGR035C	207.98	-0.1863509	0.33718748	0.3672222	0.5931746
YGR035W-A	1.367126	0.08765471	0.46125748	0.6151092	NA
YGR036C	63.00724	0.004204328	0.23877636	0.981211	0.9976427
YGR037C	24.29985	0.5897466	0.50826506	0.02465983	0.1077853
YGR038C-B	5.915424	-0.02957838	0.55929244	0.6532068	0.8214975
YGR038W	38.42567	-0.04396103	0.2567913	0.8119744	0.915559
YGR039W	5.424022	-0.2949297	0.45474365	0.1737071	0.3787955
YGR040W	16.0493	-0.5265142	0.42482161	0.03456965	0.1337251
YGR041W	21.37438	-0.1067192	0.26320318	0.5692948	0.7631897
YGR042W	13.74291	0.4182491	0.40186658	0.07491535	0.2242581
YGR043C	44.94835	0.1073772	0.34495263	0.5963592	0.7824432
YGR044C	4.025176	0.5309936	0.62358993	0.02283646	0.1029019
YGR045C	32.4958	-0.3578283	0.37400876	0.1121365	0.2878327
YGR046W	49.58563	4.52191	1.09987332	NA	NA
YGR047C	303.0574	-0.111745	0.18923064	0.4747185	0.6929985
YGR048W	194.9271	0.4349994	0.19994131	0.00799881	0.04999256
YGR049W	400.0846	0.08057733	0.30780364	0.6835361	0.8405285
YGR050C	30.14377	0.4456798	0.32248825	0.04194569	0.1526343
YGR052W	121.9977	1.088652	0.4479663	0.000367171	0.005819223
YGR053C	85.23852	-0.1328381	0.30776093	0.5051602	0.7140602
YGR054W	79.10576	-0.4474371	0.24378156	0.01701532	0.08521922
YGR055W	176.1321	-0.09320101	0.34878536	0.6448217	0.8152369
YGR056W	123.225	0.4662913	0.35395057	0.04228391	0.1535995
YGR057C	12.95681	0.2656147	0.40700958	0.2216839	0.4406391
YGR058W	11.08144	-0.2238869	0.3651803	0.2914485	0.5177113
YGR059W	12.18814	-0.29171	0.34582853	0.1753617	0.3815682
YGR060W	585.5391	0.1313139	0.33782398	0.5187282	0.7235509
YGR061C	101.2539	-0.1225363	0.26657221	0.5164192	0.7219117
YGR062C	30.92365	0.1271207	0.24224295	0.481518	0.6971336
YGR063C	24.74229	0.1828465	0.3241719	0.3713543	0.597105
YGR065C	27.79658	0.07567193	0.23666945	0.6707573	0.8335638
YGR066C	12.02351	-0.02311894	0.38054349	0.9070235	0.961928
YGR067C	173.0812	-0.07438863	0.33904469	0.7113067	0.8567205
YGR068C	27.98773	-0.1394334	0.28129415	0.471087	0.6897193
YGR070W	365.7611	-0.2283085	0.2023144	0.1626689	0.3619443
YGR071C	81.20337	-0.3480001	0.24484082	0.06067907	0.1939718
YGR072W	379.127	0.1498271	0.1786025	0.3191045	0.5469448
YGR074W	6.786843	-0.3062398	0.47273444	0.155029	0.3525794
YGR075C	20.12577	-0.1428427	0.30407159	0.4728529	0.691627
YGR076C	409.4066	2.185018	0.68359658	NA	NA
YGR077C	68.46778	0.01702113	0.21443569	0.919594	0.9689327
YGR078C	28.86086	0.8190529	0.42529995	0.003101749	0.02581579
YGR079W	67.21521	0.1960601	0.32061175	0.3379794	0.5677332
YGR080W	25.84674	0.02740233	0.2504301	0.8807472	0.9493892
YGR081C	23.64556	-0.1981143	0.28892822	0.3155118	0.5437506
YGR082W	8.814111	0.09773711	0.3814323	0.6272296	0.8037094
YGR083C	801.1578	0.3392943	0.2071634	0.04202844	0.1528423
YGR084C	35.90623	-0.08527982	0.23589262	0.6314386	0.8058193
YGR085C	338.65	0.4576403	0.30566961	0.03248696	0.1288568
YGR086C	428.5363	0.9277963	0.2054683	4.318913e-07	2.83577e-05
YGR087C	14.50545	0.8180827	0.45150986	0.00381588	0.0299211
YGR088W	396.8309	1.258559	0.34594839	6.464487e-06	0.0002518513
YGR089W	268.0008	-0.4883653	0.19073956	0.002186634	0.02031903
YGR090W	73.06809	-0.1666249	0.22612399	0.3395781	0.5694581
YGR091W	32.07512	-0.1205767	0.26339569	0.5208927	0.7251476
YGR092W	69.07549	0.2693607	0.19286306	0.08946538	0.2496757
YGR093W	174.008	0.269469	0.20741453	0.1053859	0.2764181
YGR094W	821.2665	0.06198299	0.18349162	0.685715	0.8422464
YGR095C	47.62601	1.104577	0.31858666	1.908928e-05	0.0005657744
YGR096W	26.54559	0.4361601	0.29024349	0.03534607	0.135728
YGR097W	197.4859	0.001696052	0.16122393	0.9903311	1
YGR098C	97.83228	-0.4370432	0.24487809	0.01991371	0.09398455
YGR099W	54.48913	0.548493	0.26113176	0.00593078	0.03995086
YGR100W	122.329	0.05111965	0.17335449	0.72867	0.8683228
YGR101W	23.26624	-0.05071597	0.26708867	0.7872882	0.9013047
YGR102C	220.9094	0.197429	0.21422777	0.2435355	0.4637108
YGR103W	916.7725	-0.3681736	0.24596114	0.048351	0.1687484
YGR104C	20.84503	0.0943822	0.26431833	0.615032	0.7950706
YGR105W	36.068	-0.2429155	0.25234583	0.1925342	0.4012529
YGR106C	389.9215	0.1582787	0.27741919	0.4118929	0.6379108
YGR108W	84.70167	0.2399472	0.26090125	0.2056501	0.4200887
YGR109C	11.82506	-0.08458833	0.32953605	0.6733204	0.835055
YGR109W-B	10.66158	-0.3237459	0.40131682	0.1491905	0.3455208
YGR110W	46.09929	0.298068	0.36574927	0.1731367	0.378242
YGR111W	67.03225	0.09797963	0.22833007	0.5752284	0.767014
YGR112W	59.76319	0.3306747	0.28551006	0.1003453	0.2677817
YGR113W	238.5748	-0.1468147	0.19534869	0.3577124	0.5854099
YGR116W	1172.018	-0.06732224	0.13945723	0.5909664	0.778273
YGR117C	85.75683	-0.5214623	0.2287125	0.004153174	0.03165206
YGR118W	1123.061	-0.8933815	0.27708777	7.454262e-05	0.001661911
YGR119C	176.0881	-0.7295484	0.21018888	4.458427e-05	0.001109963
YGR120C	9.051235	-0.02804396	0.3701821	0.8880389	0.9530386
YGR121C	97.4441	-0.3180042	0.2661106	0.1005704	0.2682625
YGR121W-A	57.74107	-1.638067	0.41060604	3.802168e-07	2.524217e-05
YGR122W	60.29854	0.1012354	0.30342387	0.6081743	0.7894506
YGR123C	21.93194	-0.05570131	0.28918508	0.7735511	0.8946192
YGR124W	60.50505	0.3756293	0.22984582	0.0358913	0.1370291
YGR125W	457.0719	-0.03694701	0.13669965	0.7644823	0.8885583
YGR126W	30.43814	-0.9149469	0.46808543	0.001944384	0.01852902
YGR127W	116.0067	-0.2303403	0.27841424	0.2383216	0.4595431
YGR128C	69.25417	0.01927439	0.24652178	0.9153372	0.9671335
YGR129W	133.2744	0.06939342	0.21904515	0.684474	0.8411625
YGR130C	1762.045	0.05330803	0.16713645	0.7105102	0.8560796
YGR131W	87.37818	-0.2553679	0.23402311	0.1536914	0.3506035
YGR132C	29.72066	-0.3116549	0.34660336	0.1506523	0.3470393
YGR133W	6.481551	0.2197187	0.38891165	0.3008717	0.5293605
YGR134W	97.76335	0.07114284	0.17938005	0.6372099	0.809732
YGR135W	83.94648	0.58241	0.27811418	0.005278067	0.03688125
YGR136W	33.89891	-0.5291473	0.41821694	0.03318379	0.130787
YGR138C	120.3282	-0.05351483	0.28811129	0.781918	0.8986267
YGR140W	69.26329	0.1569963	0.20300299	0.3371964	0.5669852
YGR141W	99.29737	-0.1490282	0.24499158	0.4126901	0.6386489
YGR142W	2617.744	0.597097	0.41475735	0.01894234	0.09096247
YGR143W	133.0389	-0.147328	0.23962795	0.4126794	0.6386489
