gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
YFR022W	57.74047	-0.1154978	0.20469065	0.4925577	0.7082697
YFR023W	13.65607	-0.2257957	0.33847462	0.2654318	0.4954184
YFR024C-A	31.33106	-0.1261558	0.26382264	0.5071824	0.7189508
YFR025C	28.56752	0.4901127	0.37516085	0.031212	0.1371348
YFR026C	4.479774	-0.1528345	0.41263771	0.3905874	0.620177
YFR027W	5.514388	-0.2521124	0.4363175	0.1799419	0.3948744
YFR028C	111.357	0.1242106	0.21776101	0.4764709	0.6954763
YFR029W	278.3576	0.5150141	0.18765664	0.00126689	0.01602021
YFR030W	440.122	1.919325	0.33724616	3.890019e-11	2.155071e-08
YFR031C	400.6183	0.2113985	0.13799936	0.09382807	0.270605
YFR031C-A	466.0368	0.5462012	0.353417	0.01652462	0.09113217
YFR032C	18.1957	0.1706444	0.32319266	0.391183	0.6207018
YFR032C-A	1432.858	0.007210376	0.3753623	0.9683348	0.9920172
YFR032C-B	16.80068	-0.1691822	0.30711144	0.3934039	0.6229184
YFR033C	1999.189	0.2542306	0.25355113	0.1796939	0.3946142
YFR034C	22.70348	-0.2608753	0.29041231	0.1913004	0.4066527
YFR035C	5.776883	-0.2622884	0.3834358	0.1973198	0.415282
YFR035W-A	32.30716	0.4276195	0.39137859	0.05508067	0.1947652
YFR036W	15.85609	0.06391887	0.29350988	0.7417365	0.8712688
YFR037C	69.2951	0.5501481	0.26594734	0.00606263	0.04787752
YFR038W	278.7829	0.5662213	0.17101095	0.0001498672	0.003395132
YFR039C	52.59923	-0.4543397	0.21932663	0.01037202	0.06796459
YFR040W	295.5668	0.06807509	0.18422698	0.6651502	0.8294121
YFR041C	143.704	-0.1992916	0.19239757	0.2184236	0.4436911
YFR042W	23.65633	-0.3653143	0.29095598	0.07285521	0.2316013
YFR043C	30.77205	-0.1642692	0.30547853	0.4064807	0.6333658
YFR044C	173.7654	0.6322453	0.39744316	0.00919227	0.0625896
YFR045W	74.42843	-0.1140606	0.24369493	0.5361355	0.7415365
YFR046C	18.48331	-0.2043541	0.27759737	0.2948292	0.5279722
YFR047C	41.33271	0.4763229	0.35813955	0.03341811	0.1420374
YFR048W	62.69766	0.03140006	0.21289138	0.8552117	0.9366751
YFR049W	23.15711	0.41728	0.34303477	0.05486969	0.1945177
YFR050C	45.52463	0.1530914	0.31456027	0.4391998	0.6608571
YFR051C	117.0476	0.002357499	0.19124843	0.9883342	1
YFR052W	101.6394	-0.0210363	0.18956487	0.8955986	0.9541652
YFR053C	721.9527	0.5381967	0.2763566	0.008440908	0.05885457
YFR054C	3.757202	-0.1143792	0.39962978	0.5212167	0.7286751
YFR055W	28.6997	-1.322497	0.45311812	2.183541e-05	0.0008871001
YFR057W	1.314778	0.1266614	0.46776113	0.3262977	NA
YGL001C	140.8677	-1.060085	0.35424325	4.477471e-05	0.001491022
YGL002W	32.8687	-0.06409478	0.24285475	0.7272285	0.8629437
YGL003C	144.2158	0.2746551	0.18111543	0.07710145	0.2402128
YGL004C	123.3734	0.04561554	0.15770747	0.7455342	0.8733729
YGL005C	139.5242	-0.4524761	0.25883334	0.02050213	0.1042905
YGL006W	1215.142	-0.03577518	0.27127805	0.8512133	0.9345449
YGL006W-A	0.2499074	-0.009126467	0.49131196	0.8660886	NA
YGL007C-A	3.684558	-0.02604225	0.39090413	0.8818297	0.9493655
YGL007W	1.136469	0.09490543	0.44881482	0.4993593	NA
YGL008C	303.0289	-0.21835	0.28820544	0.2693112	0.4995501
YGL009C	45.6853	-0.1974076	0.23317878	0.2762938	0.5073017
YGL010W	46.21089	-0.4655796	0.35338955	0.03629918	0.1483717
YGL011C	101.1204	0.2815133	0.16502735	0.05244032	0.1886039
YGL012W	105.8973	0.1583615	0.26701708	0.4083916	0.6350443
YGL013C	117.8935	-0.1384038	0.18549322	0.3810665	0.6119155
YGL014W	77.15814	0.107526	0.20085142	0.5180517	0.726868
YGL015C	1.64103	-0.06755043	0.4176734	0.6771143	0.8337841
YGL016W	125.2468	-0.4073583	0.17885104	0.008157064	0.05740086
YGL017W	39.87817	0.3471251	0.23392146	0.0580667	0.2015139
YGL018C	22.69268	-0.08363313	0.27516938	0.6629931	0.8277306
YGL019W	86.29451	0.5268587	0.26787588	0.008649909	0.06003707
YGL020C	61.95321	-0.03696532	0.18685854	0.8159244	0.9133437
YGL021W	64.37228	0.0709214	0.2094079	0.6774665	0.8337841
